Name,Age,Region,Gender,Investment,Yield
Ethyl,21,Western Region,Male,6855,3.8
Shelli,23,Northern Region,Female,7217,4
Rona,23,Upper East Region,Female,3342,2.3
Doro,25,Northern Region,Male,3318,2.3
Ronda,23,Upper West,Male,2154,2
Saundra,25,Central Region,,1703,1.9
Karon,17,Ashanti Region,Male,4055,2.6
Luisa,15,Northern Region,Male,3733,2.5
Stacie,15,Western Region,Male,860,1.7
Miof,19,Central Region,Female,3876,2.5
Karee,21,Upper West,Female,3219,2.3
Andeee,20,Volta Region,Male,5471,3.2
Chelsae,20,Western Region,Male,1047,1.8
Steffane,19,Upper East Region,Female,1346,1.8
Allie,24,Brong Ahafo Region,Female,1193,1.8
Georgina,25,Volta Region,Male,7120,3.9
Cyndi,20,Greater Accra,Female,859,1.7
Perla,15,Western Region,Male,7098,3.9
Jacqueline,19,Northern Region,Male,4399,2.7
Marnie,16,Upper West,Female,2791,2.2
Bernadene,22,Central Region,Male,4221,2.7
Jewelle,22,Greater Accra,Female,4673,2.8
Anna,19,Ashanti Region,Male,2151,2
Sigrid,22,Northern Region,Male,3752,2.5
Joice,18,Greater Accra,Male,1953,1.9
Elianore,22,Volta Region,Male,4796,2.9
Ernesta,23,Greater Accra,Male,1109,1.8
Guenevere,19,Western Region,Male,1230,1.8
Shaun,25,Upper West,Male,4315,2.7
Kenna,22,Northern Region,Female,4252,2.7
Maire,21,Eastern Region,Female,2112,2
Philis,25,Western Region,Female,5820,3.5
Simonne,21,Northern Region,Female,1426,1.8
Tedi,15,Upper West,Male,1125,1.8
Elfie,23,Northern Region,Female,1088,1.8
Roxana,19,Northern Region,Female,6735,3.8
Gnni,18,Upper East Region,Female,7146,3.9
Ashlen,25,Upper West,Male,6386,3.7
Nari,23,Northern Region,Male,5839,3.5
Delora,18,Upper West,Male,6666,3.7
Joleen,21,Ashanti Region,Female,5591,3.3
Linn,17,Brong Ahafo Region,Female,1567,1.9
Dasha,16,Central Region,Male,7188,3.9
Ricca,19,Western Region,Male,4309,2.7
Harriette,18,Upper East Region,Male,3227,2.3
Anna,20,Western Region,Male,1675,1.9
Krystyna,16,Upper East Region,Female,7303,4
Libbi,21,Volta Region,Male,3454,2.4
Nelli,16,Northern Region,Female,886,1.7
Corrina,19,Northern Region,Female,4705,2.9
Jocelyne,25,Eastern Region,Female,1636,1.9
Abigale,21,Brong Ahafo Region,Female,3245,2.3
Juditha,18,Upper West,Male,5178,3.1
Lebbie,15,Northern Region,Male,6265,3.6
Stella,18,Central Region,Female,5752,3.4
Drucie,24,,Female,5572,3.3
Colleen,19,Central Region,Male,2221,2
Binni,24,Ashanti Region,Male,1079,1.8
Mirabelle,21,Northern Region,Male,5918,3.5
Barb,15,Ashanti Region,Male,7468,4
Pavia,15,Northern Region,Male,5059,3.1
Tani,24,Greater Accra,Female,4237,2.7
Elana,18,Volta Region,Male,4676,2.8
Catherine,23,Upper West,Female,3960,2.5
Ardis,19,Eastern Region,Female,5369,3.2
Alisha,21,Western Region,Female,3991,2.5
Prue,19,Northern Region,Male,3973,2.5
Candide,24,Upper West,Male,5776,3.4
Maribel,18,Brong Ahafo Region,Male,1540,1.9
Hannis,19,Central Region,Female,1453,1.8
Belicia,19,Volta Region,Male,2179,2
Josie,23,Upper West,Female,1017,1.8
Anne,25,Volta Region,Female,5656,3.3
Dominica,16,Upper East Region,Male,948,1.7
Giralda,18,Brong Ahafo Region,Male,4210,2.7
Sileas,24,Volta Region,Female,3508,2.4
Cheslie,22,Ashanti Region,Female,2649,2.2
Noami,16,Volta Region,Female,3133,2.3
Caitlin,16,Northern Region,Male,6507,3.7
Sharona,21,Central Region,Female,1240,1.8
Helen,17,Brong Ahafo Region,Male,2675,2.2
Kiersten,16,Northern Region,Female,5803,3.5
Annecorinne,24,Ashanti Region,Male,1099,1.8
Fancie,18,Upper West,Male,1686,1.9
Sonnie,23,Ashanti Region,Female,4102,2.6
Hyacinthie,19,Central Region,Female,6504,3.7
Annabell,23,Greater Accra,Female,5356,3.2
Gypsy,18,Greater Accra,Female,6952,3.8
Malinda,22,Eastern Region,Female,6592,3.7
Berenice,16,Eastern Region,Female,1180,1.8
Essa,20,Northern Region,Male,5762,3.4
Hedwig,15,Eastern Region,Female,5638,3.3
Maryl,25,Ashanti Region,Male,3203,2.3
Biddie,16,Upper East Region,Female,1710,1.9
Audie,24,Volta Region,Male,4092,2.6
Jorie,21,Eastern Region,Male,6193,3.6
Johnath,20,Volta Region,Male,7405,4
Mavra,22,Northern Region,Female,1443,1.8
Cati,23,Upper East Region,Male,3278,2.3
Emelia,23,Northern Region,Male,1665,1.9
Betsy,22,Greater Accra,Male,5387,3.2
Gussie,19,Brong Ahafo Region,Male,6657,3.7
Doro,18,Central Region,Female,1944,1.9
Dael,21,Upper West,Male,3919,2.5
Colette,17,Volta Region,Male,2222,2
Eugine,25,Greater Accra,Male,7449,4
Jeannie,20,Greater Accra,Female,5980,3.5
Enrica,18,Brong Ahafo Region,Female,2336,2.1
Candy,19,Brong Ahafo Region,Male,1196,1.8
Jannelle,18,Ashanti Region,Female,4741,2.9
Chantal,17,Central Region,Female,6528,3.7
Ruthann,18,Upper West,Female,1673,1.9
Jaquith,21,Upper East Region,Male,1582,1.9
Corette,15,Greater Accra,Female,1717,1.9
Bride,17,Northern Region,Female,5168,3.1
Gabbi,17,Upper West,Male,1197,1.8
Malissia,23,Northern Region,Female,2913,2.2
Marie,20,Central Region,Female,825,1.7
Ira,24,Brong Ahafo Region,Female,1034,1.8
Shawn,24,Western Region,Female,1564,1.9
Kenna,20,Volta Region,Female,1271,1.8
Dasha,22,Volta Region,Female,4541,2.8
Dari,20,Brong Ahafo Region,Male,6673,3.7
Lisabeth,22,Northern Region,Male,7130,3.9
Eleen,17,Volta Region,Female,1552,1.9
Jayme,18,Western Region,Male,1750,1.9
Mavra,20,Eastern Region,Male,3036,2.3
Janey,21,Ashanti Region,Male,1292,1.8
Leilah,21,Western Region,Female,1729,1.9
Genovera,17,Northern Region,Female,1001,1.8
Krystalle,18,Brong Ahafo Region,Male,5487,3.2
Sybil,18,Ashanti Region,Female,4378,2.7
Lynett,19,Northern Region,Male,6611,3.7
Cary,16,Brong Ahafo Region,Female,1036,1.8
Tamqrah,17,Volta Region,Male,3748,2.5
Saree,24,Ashanti Region,Male,1143,1.8
Nicole,24,Brong Ahafo Region,Male,2378,2.1
Ranee,24,Western Region,Female,3828,2.5
Chelsae,20,Central Region,Male,2676,2.2
Eleen,17,Greater Accra,Female,1118,1.8
Devonna,19,Central Region,Male,2294,2
Edna,20,Upper East Region,Female,1170,1.8
Josey,23,Greater Accra,Male,4487,2.8
Kali,20,Western Region,Male,5019,3
Katalin,23,Central Region,Female,7244,4
Carrie,25,Western Region,Male,6316,3.7
Jaquenette,19,Upper East Region,Male,846,1.7
Julieta,21,Upper East Region,Female,3973,2.5
Eileen,25,Northern Region,Male,6702,3.8
Cass,23,Volta Region,Male,3905,2.5
Lizbeth,22,Ashanti Region,Female,4295,2.7
Sandy,23,Central Region,Male,5170,3.1
Stacia,21,Northern Region,Female,2397,2.1
Debbie,18,Upper East Region,Male,3003,2.3
Julia,16,Western Region,Male,6746,3.8
Florinda,16,Western Region,Female,854,1.7
Hilary,19,Brong Ahafo Region,Male,2288,2
Raina,21,Eastern Region,Female,6713,3.8
Adorne,16,Eastern Region,Female,1226,1.8
Florance,19,Volta Region,Male,4901,3
Roselle,24,Brong Ahafo Region,Male,3402,2.4
Sapphira,16,Northern Region,Female,3688,2.4
Bunnie,23,Eastern Region,Male,2500,2.2
Lucie,25,Volta Region,Male,1244,1.8
Rubie,23,Upper East Region,Female,6328,3.7
Kari,20,Volta Region,Female,5861,3.5
Jeannie,15,Upper East Region,Female,4113,2.6
Geri,20,Western Region,Male,2154,2
Liesa,15,Upper East Region,Male,4016,2.6
Jonis,22,Central Region,Female,1258,1.8
Bessy,22,Northern Region,Female,1384,1.8
Kaia,18,Ashanti Region,Male,1700,1.9
Karen,25,Northern Region,Male,3038,2.3
Maggi,19,Brong Ahafo Region,Female,5997,3.5
Bonny,24,Upper West,Male,5930,3.5
Mechelle,22,Eastern Region,Male,1104,1.8
Cherianne,17,Ashanti Region,Male,6725,3.8
Kellia,21,Upper West,Male,5766,3.4
Ella,22,Eastern Region,Female,1798,1.9
Oralie,15,Upper East Region,Male,5705,3.4
Kiley,25,Upper West,Male,4659,2.8
Sofie,16,Volta Region,Male,5367,3.2
Constantia,17,Western Region,Female,6433,3.7
Edithe,21,Western Region,Female,7184,3.9
Malissa,17,Ashanti Region,Female,1559,1.9
Allx,23,Ashanti Region,Female,1186,1.8
Donni,15,Upper East Region,Female,6998,3.8
Milli,19,Brong Ahafo Region,Female,5424,3.2
Klara,21,Upper East Region,Male,952,1.7
Kim,18,Upper West,Male,1224,1.8
Calida,17,Central Region,Female,5344,3.2
Anestassia,22,Upper East Region,Female,5455,3.2
Rosabel,17,Western Region,Female,2823,2.2
Darya,24,Brong Ahafo Region,Female,4234,2.7
Gwenneth,22,Brong Ahafo Region,Male,1024,1.8
Silvia,15,Brong Ahafo Region,Female,6882,3.8
Elmira,16,Upper West,Male,1370,1.8
Kristi,21,Brong Ahafo Region,Male,1269,1.8
Verne,21,Upper East Region,Male,1595,1.9
Cherise,25,Brong Ahafo Region,Male,1824,1.9
Anastasia,18,Northern Region,Female,4187,2.6
Beulah,23,Northern Region,Male,7495,4
Rachel,18,Upper West,Male,2305,2.1
Pam,16,Central Region,Male,2336,2.1
Nanete,18,Northern Region,Male,4064,2.6
Dido,15,Eastern Region,Female,1472,1.8
Rodie,16,Northern Region,Female,2851,2.2
Nanci,24,Brong Ahafo Region,Male,2536,2.2
Deb,24,Greater Accra,Male,7332,4
Nessi,15,Central Region,Male,4352,2.7
Ninnette,one,Northern Region,Male,5164,3.1
Clotilda,16,Upper West,Female,1182,1.8
Allene,16,Ashanti Region,Male,3463,2.4
Hannie,22,Greater Accra,Male,5179,3.1
Loutitia,19,Greater Accra,Male,1586,1.9
Leona,20,Northern Region,Female,4082,2.6
Freddie,21,Eastern Region,Female,5816,3.5
Chloette,17,Brong Ahafo Region,Female,4527,2.8
Brandea,24,Western Region,Female,2901,2.2
Ellyn,22,Ashanti Region,Male,4518,2.8
Kellsie,17,Western Region,Female,2860,2.2
Roxine,23,Brong Ahafo Region,Male,1710,1.9
Lianna,21,Upper East Region,Female,1621,1.9
Mavis,23,Eastern Region,Female,7051,3.9
Pandora,24,Upper East Region,Female,2677,2.2
Juieta,20,Upper East Region,Male,6205,3.6
Hedda,21,Central Region,Male,1753,1.9
Ruthi,21,Northern Region,Female,1211,1.8
Marika,21,Eastern Region,Male,4469,2.8
Sallie,20,Volta Region,Male,5814,3.5
Harlie,25,Northern Region,Female,1140,1.8
Caryn,15,Ashanti Region,Male,1229,1.8
Letitia,24,Volta Region,Male,6252,3.6
Loren,16,Brong Ahafo Region,Male,4431,2.8
Felicdad,20,Greater Accra,Male,6079,3.6
Brett,15,,Female,7137,3.9
Marion,25,Ashanti Region,Female,1011,1.8
Ramonda,15,Northern Region,Male,1030,1.8
Lindi,23,Eastern Region,Female,1641,1.9
Cathleen,23,Upper East Region,Male,857,1.7
Gabrila,15,Eastern Region,Female,3350,2.3
Oralla,23,Northern Region,Male,3226,2.3
Harriette,23,Upper West,Female,5960,3.5
Anica,21,Upper East Region,Female,3321,2.3
Chrysler,16,Greater Accra,Male,5898,3.5
Joice,20,Western Region,Female,5026,3
Gayle,20,Upper West,Male,7085,3.9
Elka,21,Central Region,Female,3277,2.3
Madelaine,22,Greater Accra,Male,1765,1.9
